n_agents,p_rewiring,uncertainty,n_experiments,rewiring_type,mean_degree,true_consensus,true_consensus_alternative_stop,choice_consensus,convergence_step,agent_type
96,0.3282906428862903,0.0071315697100872,302,hierarchical,4.346689400397841,0.4160272804774083,False,0.4160272804774083,200,bayes
225,0.7512232194050062,0.0046519011738902,729,hierarchical,4.346689400397841,0.408638817845979,False,0.408638817845979,200,bayes
355,0.8381085965469562,0.0082700324613704,800,randomize,4.346689400397841,0.8965615231599886,0.8965615231599886,0.8965615231599886,88,bayes
458,0.7402822802896085,0.0083957992087629,135,randomize,4.346689400397841,0.8374538221085536,False,0.8374538221085536,200,bayes
36,0.0806782778776916,0.0073896221567376,770,hierarchical,4.346689400397841,0.440181869849389,0.440181869849389,0.440181869849389,101,bayes
165,0.4936302947879757,0.0036790337001968,358,hierarchical,4.346689400397841,0.4097755044046604,False,0.4097755044046604,200,bayes
158,0.0373484467598601,0.0043453726635835,434,randomize,4.346689400397841,0.4327934072179596,False,0.4327934072179596,200,bayes
15,0.3686929930160426,0.002257942577431,451,randomize,4.345552713839159,0.5845410628019324,False,0.5836885478829212,200,bayes
211,0.15066883995325986,0.009413033318958985,561,hierarchical,4.346689400397841,0.4339300937766411,0.4339300937766411,0.4339300937766411,105,bayes
425,0.8281539924435521,0.009412353550704588,450,hierarchical,4.346689400397841,0.4390451832907076,0.4390451832907076,0.4390451832907076,113,bayes
139,0.9532516152953072,0.008963944664644313,205,hierarchical,4.346689400397841,0.4177323103154305,False,0.4177323103154305,200,bayes
170,0.6130986487013027,0.004261202169761682,273,hierarchical,4.346689400397841,0.3969877806194942,False,0.3969877806194942,200,bayes
81,0.877249455369373,0.009308450762038248,627,hierarchical,4.346689400397841,0.4489911906791702,0.4489911906791702,0.4489911906791702,79,bayes
51,0.7531269029390117,0.003259425172019291,816,hierarchical,4.346689400397841,0.4134697357203751,False,0.4134697357203751,200,bayes
193,0.9775815484950418,0.0026073074510601104,203,hierarchical,4.346689400397841,0.4043762432509236,False,0.4040920716112532,200,bayes
133,0.3249767498885654,0.007654530242054758,231,hierarchical,4.346689400397841,0.4205740267121341,False,0.4205740267121341,200,bayes
451,0.7755528601352027,0.008758266852038258,270,hierarchical,4.346689400397841,0.42710997442455245,0.42710997442455245,0.42710997442455245,192,bayes
86,0.93845556955092,0.0040840342649153625,963,hierarchical,4.346689400397841,0.4151747655583973,False,0.4151747655583973,200,bayes
305,0.6226641235495664,0.001619478845356076,24,hierarchical,4.346689400397841,0.46717817561807334,False,0.46746234725774366,200,bayes
404,0.7179498648593889,0.007454637314116984,179,hierarchical,4.346689400397841,0.39300937766410915,False,0.39300937766410915,200,bayes
307,0.5749259093599017,0.006858677673411331,450,hierarchical,4.346689400397841,0.4057971014492754,0.4057971014492754,0.4057971014492754,168,bayes
373,0.5569825073386189,0.00948764054337084,36,hierarchical,4.346689400397841,0.40068201193520886,False,0.40068201193520886,200,bayes
35,0.5459402020456843,0.0038269989862324653,687,hierarchical,4.346689400397841,0.41403807899971584,False,0.41403807899971584,200,bayes
