n_agents,p_rewiring,uncertainty,n_experiments,rewiring_type,mean_degree,true_consensus,convergence_step,agent_type
133403,0.1151230372098883,0.0104663918798826,333,randomize,11.769600383799466,0.6710643688672668,159,bayes
133403,0.2725449641816011,0.0132618424369897,8844,randomize,11.769510430799906,0.9002271313238833,9,bayes
133403,0.7436990529475269,0.0062543732185717,6709,randomize,11.769585391632871,0.9938082351971096,20,bayes
133403,0.8211265933599043,0.0133299141845372,6909,randomize,11.769585391632871,0.996454352600766,6,bayes
133403,0.0577833366307396,0.0044224745962758,1280,randomize,11.76963036813265,0.5647324273067322,205,bayes
133403,0.5444045228471722,0.0146679048477917,5305,randomize,11.769555407299686,0.981387225174846,8,bayes
133403,0.4270574721386874,0.0142314285501545,6813,randomize,11.769555407299686,0.9622872049354212,8,bayes
133403,0.2171946219291056,0.0140246976998439,2660,randomize,11.769540415133092,0.8519973313943464,14,bayes
133403,0.4577230375342997,0.0134057056212311,4208,randomize,11.76948044646672,0.9691536172349948,10,bayes
133403,0.1467088037422302,0.0174359217199053,8203,randomize,11.769540415133092,0.7916688530242948,10,bayes
133403,0.2876258901758798,0.0044782100360671,2089,randomize,11.769615375966058,0.8840955600698635,146,bayes
133403,0.6204058906152585,0.0053625866724584,3935,randomize,11.769495438633314,0.98678440514831,34,bayes
133403,0.848896328158348,0.0178223370036247,8069,randomize,11.76957039946628,0.9970615353477807,6,bayes
133403,0.5887166868022119,0.0244275368035794,1340,randomize,11.769540415133092,0.9862746714841496,10,bayes
133403,0.2895923191213942,0.0228027784213889,6585,randomize,11.769555407299686,0.913030441594267,8,bayes
133403,0.9131799909066,0.0182182630487206,6071,randomize,11.769615375966058,0.9976687180947956,5,bayes
133403,0.6181615795399347,0.0203120198176494,9017,randomize,11.769450462133536,0.9882986139741984,6,bayes
133403,0.5176945004031017,0.0113836372306744,5129,randomize,11.7695254229665,0.9778865542753912,11,bayes
133403,0.5426635567325568,0.0084311092770247,725,randomize,11.76943546996694,0.9778565699422052,84,bayes
133403,0.351474376763257,0.0035763804758717,6446,randomize,11.769600383799466,0.927752749188549,55,bayes
133403,0.8945147202587498,0.0028769643326424,1626,randomize,11.769600383799466,0.9970390470978914,254,bayes
133403,0.8188428102384608,0.0121111848531727,1364,randomize,11.769540415133092,0.9960795484359424,20,bayes
133403,0.5618533484471225,0.0198271113873889,1022,randomize,11.769555407299686,0.9829913870002924,12,bayes
133403,0.4777061623760916,0.0066728633000056,6215,randomize,11.769420477800349,0.9702555414795768,23,bayes
133403,0.9890998327061468,0.0031461678193576,6177,randomize,11.769645360299243,0.9983433655914784,55,bayes
133403,0.4951948991505644,0.0186656196081505,6778,randomize,11.76948044646672,0.975232940788438,7,bayes
133403,0.1124946174398496,0.0073540757480162,2739,randomize,11.769555407299686,0.7022330832140207,36,bayes
133403,0.7559931420129731,0.0094542405541104,1465,randomize,11.769555407299686,0.994100582445672,34,bayes
133403,0.1707965140870182,0.01817440566083,4248,randomize,11.769510430799906,0.8159411707382892,8,bayes
133403,0.7164653900740893,0.0166554704967485,2960,randomize,11.76948044646672,0.9932460289498736,7,bayes
133403,0.2754135705810216,0.0075328806588302,7168,randomize,11.76957039946628,0.8972436901718852,14,bayes
133403,0.0133854808846274,0.0164890624859604,2835,randomize,11.76963036813265,0.5940421129959597,8,bayes
133403,0.7489742407357632,0.0027426299963841,488,randomize,11.769585391632871,0.9926913187859344,911,bayes
133403,0.2946690263696494,0.0099023296051372,6621,randomize,11.769555407299686,0.9121384076819862,13,bayes
133403,0.5751735244711496,0.0065029995497454,994,randomize,11.76957039946628,0.9810349092599115,95,bayes
133403,0.3347674254538757,0.001615781002225,7693,randomize,11.76957039946628,0.9127231021791116,230,bayes
133403,0.5785109891513888,0.0246807677537255,7723,randomize,11.769420477800349,0.9859148594859186,6,bayes
133403,0.4761309733331423,0.0111418256816069,5389,randomize,11.76943546996694,0.9721220662204,10,bayes
133403,0.8522651691086413,0.0128973694039663,142,randomize,11.769600383799466,0.9963793917678012,159,bayes
133403,0.4580830461695256,0.0151962648882707,8980,randomize,11.76948044646672,0.9695359174831152,6,bayes
133403,0.6898080584682856,0.0018871246194138,818,randomize,11.76957039946628,0.9896853893840468,1058,bayes
133403,0.585142802890229,0.0070261479797478,7809,randomize,11.769540415133092,0.9848129352413364,13,bayes
133403,0.1494399379174279,0.0132568210365262,239,randomize,11.769615375966058,0.7300435522439526,148,bayes
133403,0.4442032640576153,0.0188995781397451,5118,randomize,11.769465454300128,0.9666349332473784,7,bayes
133403,0.4267085559570558,0.0228643001108496,1077,randomize,11.769495438633314,0.9618149516877432,10,bayes
