n_agents,p_rewiring,densify_valence,rewiring_type,uncertainty,n_experiments,mean_degree,true_consensus,convergence_step,agent_type
133403,0.3552905873044875,False,density,0.0170026804161139,9808,7.595796196487336,0.5787201187379594,16,beta
133403,0.9525218761519595,False,density,0.012706457548090154,2132,0.56363050306215,0.4673732974520813,32,beta
133403,0.43496918807465346,False,density,0.005157103326834104,8075,6.649700531472305,0.4824029444615189,17,beta
133403,0.7261672706841658,False,density,0.015525220044875377,6148,3.2256995719736437,0.5683980120387098,20,beta
133403,0.7527366088038197,False,density,0.007584897000307746,1908,2.9166510498264655,0.4066400305840199,32,beta
133403,0.5084794646032871,False,density,0.02301983712079018,651,5.7760020389346565,0.5143512514711064,55,beta
133403,0.04060670558281465,False,density,0.0015118338069970054,2850,11.289536217326447,0.2469284798692683,38,beta
133403,0.5335127278621223,False,density,0.005245010358330473,2617,5.501840288449285,0.38687285893120843,29,beta
133403,0.9395879316767998,False,density,0.011198747368767508,8476,0.7139719496563046,0.534058454457546,17,beta
133403,0.20862535336383914,False,density,0.010252179677652046,4374,9.316612070193324,0.5386085770185078,22,beta
