n_agents,p_rewiring,uncertainty,n_experiments,rewiring_type,mean_degree,true_consensus,convergence_step,agent_type
133403,0.0138827624206853,0.0022638709009762,6239,randomize,11.769645360299243,0.3522634423513714,22,beta
133403,0.8777158563812284,0.0096594527418596,2799,randomize,11.769600383799466,0.9970690314310772,18,beta
133403,0.7623420768318558,0.0132703719119093,4544,randomize,11.769585391632871,0.9946927730260938,15,beta
133403,0.42715105091690386,0.007568385300127621,9316,randomize,11.769540415133093,0.9598284896141765,14,beta
133403,0.8133708273465227,0.022454235639670375,9467,randomize,11.769570399466279,0.9964768408506556,12,beta
133403,0.42186216895386963,0.015089769143998826,3540,randomize,11.769510430799906,0.9597235444480259,21,beta
133403,0.25150723056175606,0.02450614284539883,1007,randomize,11.769555407299686,0.878750852679475,44,beta
133403,0.6220099815909871,0.01330840531318515,6243,randomize,11.769555407299686,0.9887034024722082,15,beta
133403,0.4017850508181986,0.020556035705145838,4687,randomize,11.769465454300128,0.9560804479659378,19,beta
133403,0.15537152544675736,0.006114269096819858,5537,randomize,11.769570399466279,0.7391812777823588,22,beta
133403,0.597453717517882,0.01786266215734237,8896,randomize,11.769510430799906,0.987114232813355,13,beta
133403,0.5312327997128045,0.0017905357604318733,8248,randomize,11.769495438633314,0.9652031813377511,48,beta
133403,0.5396259630560976,0.004522797728275912,3520,randomize,11.769510430799906,0.971904679804802,36,beta
133403,0.3527582748464225,0.02391015584857461,1652,randomize,11.769480446466721,0.9398514276290638,30,beta
133403,0.48793007660502963,0.013993298438062785,9928,randomize,11.769555407299686,0.9744458520423079,14,beta
