n_agents,ba_degree,er_prob,p_rewiring,uncertainty,n_experiments,rewiring_type,mean_degree,density,avg_clustering,avg_short_path_lenght,degree_variance,network_type,true_consensus,convergence_step,agent_type
110,2,0.04732231621730096,0.6607139138410506,0.0008371513179777966,11,randomize,7.818181818181818,0.03586321934945788,0.04606139501733386,0.0,74.65454545454546,ba,0.45454545454545453,214,beta
60,5,0.0476723791415449,0.9711531481682353,0.00022026226158042292,32,randomize,18.266666666666666,0.15480225988700566,0.15345247406345824,2.0652542372881357,349.6666666666667,ba,0.3,64,beta
200,10,0.03280275057715415,0.8448287417739754,0.00028909170701408665,33,randomize,37.53,0.0942964824120603,0.09453158863503147,2.062738693467337,1451.19,ba,0.675,46,beta
168,2,0.06650804263038843,0.6905350703268907,0.00044058396447699944,52,randomize,7.869047619047619,0.023560022811519817,0.03048382412590395,0.0,76.64285714285714,ba,0.375,98,beta
37,6,0.17339070079727223,0.37535785947652633,0.00010105782643049777,48,randomize,18.64864864864865,0.25900900900900903,0.3176393604852281,1.8145645645645645,391.13513513513516,ba,0.02702702702702703,8,beta
113,10,0.1620150424462032,0.9729931425402829,0.0008610135976319376,67,randomize,36.283185840707965,0.16197850821744628,0.16337735849184762,1.8824273072060682,1351.2920353982302,ba,0.4690265486725664,27,beta
180,7,0.048024976685088566,0.25220260895105084,0.0007398063751010737,52,randomize,26.544444444444444,0.07414649286157667,0.11229552105109145,2.261018001241465,913.6111111111111,ba,0.6611111111111111,51,beta
70,5,0.13953724625453073,0.4338714749380165,0.0001635880821073967,17,randomize,17.942857142857143,0.1300207039337474,0.15797043188722557,2.141407867494824,375.85714285714283,ba,0.6571428571428571,85,beta
73,3,0.1275181847818081,0.20721221246321853,0.000661916117008608,92,randomize,11.342465753424657,0.07876712328767123,0.11942681261898826,2.5131278538812785,184.1917808219178,ba,0.273972602739726,46,beta
65,7,0.16032879886535767,0.8836966988886568,0.0004072240701293924,50,randomize,24.46153846153846,0.19110576923076922,0.19269687968248272,1.898076923076923,615.9076923076923,ba,0.5538461538461539,48,beta
50,8,0.04542774167561339,0.15205293290718402,0.00046025867571224203,40,randomize,25.96,0.2648979591836735,0.33167398503108897,1.7571428571428571,775.48,ba,0.2,20,beta
190,9,0.07252748585142516,0.31452988866001663,0.00039511270690531785,53,randomize,33.67368421052632,0.08908382066276803,0.12168919010898266,2.1233639654692285,1370.3473684210526,ba,0.6473684210526316,50,beta
35,3,0.042134480811703595,0.006584005379136282,0.0005868191906737768,47,randomize,10.914285714285715,0.16050420168067228,0.32648582965749495,2.1521008403361344,166.11428571428573,ba,0.22857142857142856,31,beta
93,4,0.14858191879637833,0.15816139994758283,0.00036788615540445346,12,randomize,15.03225806451613,0.08169705469845723,0.13918025653978006,2.401706404862085,302.0430107526882,ba,0.41935483870967744,99,beta
58,2,0.10143152305047176,0.21744651006263094,0.0004184227796455576,73,randomize,7.724137931034483,0.0677555958862674,0.09191451461132372,0.0,81.44827586206897,ba,0.25862068965517243,34,beta
91,10,0.11259929032096702,0.8617366142054691,0.0009552170458247468,26,randomize,34.61538461538461,0.19230769230769232,0.19646456821566752,1.8332112332112331,1228.8351648351647,ba,0.5054945054945055,39,beta
152,10,0.08750960076290584,0.6075985147023024,0.0006332436077982772,50,randomize,36.10526315789474,0.11955385151620773,0.1297728854360072,1.9900226559776926,1398.4736842105262,ba,0.5328947368421053,47,beta
19,4,0.20146151135436524,0.11362416237812856,0.00020031925721474784,60,randomize,12.31578947368421,0.34210526315789475,0.41605351236337745,1.719298245614035,185.57894736842104,ba,0.631578947368421,23,beta
65,3,0.06808069290334864,0.04654452064961678,0.00034832440815643834,54,randomize,11.446153846153846,0.08942307692307692,0.25798849297356313,2.363701923076923,222.1846153846154,ba,0.24615384615384617,49,beta
53,10,0.22190053889288186,0.09292416461392028,0.0005272089730003838,20,randomize,31.849056603773583,0.3062409288824383,0.4097635357898379,1.6984760522496372,1192.7169811320755,ba,0.0,10,beta
75,4,0.2457531638962136,0.3055344460081195,0.00041045067382923956,90,randomize,14.906666666666666,0.10072072072072072,0.12678774394372228,2.3225225225225223,273.36,ba,0.37333333333333335,30,beta
91,8,0.1329634094832893,0.7219945556198464,0.00038121224216320043,78,randomize,28.175824175824175,0.15653235653235653,0.159622811237294,1.9384615384615385,830.6813186813187,ba,0.7912087912087912,44,beta
11,7,0.11583084087071954,0.13785569686651944,0.0004771323649433042,34,randomize,9.636363636363637,0.4818181818181818,0.645124019319891,1.5818181818181818,113.27272727272727,ba,0.0,5,beta
134,7,0.0192408920500024,0.46676601811443386,0.0008928360140335728,11,randomize,25.880597014925375,0.09729547749971945,0.12236167458591078,2.164571877454831,780.044776119403,ba,0.3283582089552239,98,beta
162,7,0.10820976134206645,0.6252949955384749,0.0005053374846724124,25,randomize,26.308641975308642,0.0817038570661759,0.08959370991617785,2.2366766352273597,749.6666666666666,ba,0.3765432098765432,80,beta
