n_agents,ba_degree,er_prob,p_rewiring,uncertainty,n_experiments,rewiring_type,mean_degree,density,avg_clustering,avg_short_path_lenght,degree_variance,network_type,true_consensus,convergence_step,agent_type
47,3,0.2029920779899484,0.5416548291469256,0.0007467542943567,95,randomize,10.936170212765957,0.1188714153561517,0.1182604730099799,0.0,135.91489361702128,ba,0.9574468085106383,3935,bayes
152,4,0.0366540429254121,0.91619001228204,0.0004260356010043,24,randomize,15.5,0.0513245033112582,0.0491633197772107,2.679853607528756,256.6184210526316,ba,0.7368421052631579,10000,bayes
125,10,0.108186099654985,0.8344979916100317,0.000844006825314,36,randomize,36.112,0.1456129032258064,0.1501564107383166,1.9208387096774195,1349.552,ba,0.984,5121,bayes
30,5,0.2242666731111406,0.0543587977554432,0.0007430902054388,63,randomize,16.6,0.2862068965517241,0.3822246705856584,1.7724137931034485,328.2,ba,0.9,6266,bayes
91,7,0.1608193569986527,0.7502023854247183,0.0006537992581083,63,randomize,24.923076923076923,0.1384615384615384,0.144074704550101,2.01013431013431,653.5164835164835,ba,0.989010989010989,5320,bayes
71,2,0.1721304051725692,0.9612757461754646,0.0008708944027178,42,randomize,3.211267605633803,0.0229376257545271,0.0420243684328191,0.0,13.605633802816902,sf,0.6901408450704225,8473,bayes
115,7,0.2047074110912604,0.8396194697591398,0.0005480178164913,74,randomize,3.3043478260869565,0.0144927536231884,0.0126417382939122,0.0,16.347826086956523,sf,0.4,10000,bayes
113,6,0.0318023139353691,0.9169108501861344,0.0009254526991123,100,randomize,3.1327433628318584,0.0139854614412136,0.0126000842815002,0.0,12.8141592920354,sf,0.7699115044247787,10000,bayes
115,10,0.201810528005334,0.4918995887917623,0.0005885767054337,89,randomize,3.1130434782608694,0.0136536994660564,0.0240149679970085,0.0,22.869565217391305,sf,0.7304347826086957,10000,bayes
113,6,0.2242989700153334,0.8714584413729765,0.0006893701345396,13,randomize,2.9557522123893807,0.0131953223767383,0.0090971344289928,0.0,12.72566371681416,sf,0.5752212389380531,10000,bayes
164,5,0.0383194395567664,0.6087355318655441,0.0008051156069653,38,randomize,4.0,0.0245398773006134,0.0501113046844754,3.893311387101601,17.804878048780488,ws,0.902439024390244,10000,bayes
112,3,0.1163219128222066,0.0579746155133725,0.0004213643494898,90,randomize,2.0,0.018018018018018,0.0,0.0,4.178571428571429,ws,0.6160714285714286,10000,bayes
115,6,0.2027045118906992,0.7111048835322075,0.0004108293453601,27,randomize,6.0,0.0526315789473684,0.0531608005521048,2.82745995423341,38.64347826086957,ws,0.5304347826086957,10000,bayes
29,2,0.2151906068347395,0.561467769624939,0.0002117585744738,49,randomize,2.0,0.0714285714285714,0.0,0.0,4.758620689655173,ws,0.4827586206896552,126,bayes
29,10,0.236474747324608,0.3162043961142559,0.0006528724338687,91,randomize,10.0,0.3571428571428571,0.3642363383742695,1.6527093596059113,103.03448275862068,ws,1.0,1448,bayes
131,9,0.0939584473695206,0.8977967500848276,0.0002732981561139,62,randomize,33.05343511450382,0.1271285965942454,0.127522260617564,1.983206106870229,1127.7251908396947,ba,0.8625954198473282,10000,bayes
