n_agents,ba_degree,er_prob,p_rewiring,uncertainty,n_experiments,rewiring_type,mean_degree,density,avg_clustering,avg_short_path_lenght,degree_variance,network_type,true_consensus,convergence_step,agent_type
125,4,0.053545630607249,0.7088416977392282,0.0009056107048507,57,randomize,15.296,0.0616774193548387,0.0675732054600977,2.555806451612903,264.944,ba,0.52,69,beta
24,9,0.0745248457937797,0.7223451337762904,0.0002358099071154,98,randomize,20.666666666666668,0.4492753623188406,0.440082225824587,1.552536231884058,433.0833333333333,ba,0.8333333333333334,20,beta
176,4,0.0120492724006388,0.3179911310848298,0.000293452498468,21,randomize,15.534090909090908,0.0443831168831168,0.0732697217741958,0.0,332.8863636363636,ba,0.3806818181818182,103,beta
94,7,0.0503016004433758,0.4825731172418942,0.0006536058775942,25,randomize,24.829787234042552,0.1334934797529169,0.1461287724899568,2.0434683138869825,676.3829787234042,ba,0.5212765957446809,75,beta
130,7,0.1900303761399058,0.0083394668144367,0.0006034676359108,34,randomize,26.476923076923075,0.1026237328562909,0.1903968993320385,2.105366726296958,992.6615384615384,ba,0.3230769230769231,76,beta
73,10,0.2266686727403866,0.3332877258824516,0.0009068580757085,100,randomize,3.041095890410959,0.0211187214611872,0.0658071357332352,0.0,27.91780821917808,sf,0.0273972602739726,30,beta
106,9,0.1865639914983086,0.7424648393988544,0.0009560419153703,13,randomize,3.358490566037736,0.0159928122192273,0.0210518080801099,0.0,16.830188679245282,sf,0.1792452830188679,135,beta
172,10,0.0632217949778972,0.9134001084266316,0.0001429456968524,25,randomize,3.2906976744186047,0.0096219230246158,0.0168720007382798,0.0,13.988372093023257,sf,0.1860465116279069,159,beta
80,10,0.1309426198506047,0.7071614308334387,0.000554907903026,72,randomize,3.25,0.0205696202531645,0.0227781226126814,0.0,18.975,sf,0.1875,58,beta
101,2,0.2207392236805153,0.5884060821374371,0.0009350691388054,51,randomize,3.1485148514851486,0.0157425742574257,0.0158719947625014,0.0,20.099009900990097,sf,0.1089108910891089,55,beta
27,4,0.0493527037926999,0.8716469927392116,0.000429455625201,85,randomize,4.0,0.1538461538461538,0.09673721340388,2.327635327635328,18.96296296296296,ws,0.1851851851851851,20,beta
79,3,0.1916000267068806,0.4603093032411885,0.0002080880220383,47,randomize,2.0,0.0256410256410256,0.0189873417721519,0.0,4.632911392405063,ws,0.3544303797468354,121,beta
53,7,0.1317094274502421,0.4354314060190312,0.0005536073441191,68,randomize,6.0,0.1153846153846153,0.2206498951781971,2.4680696661828736,37.698113207547166,ws,0.5660377358490566,50,beta
102,4,0.0300328638768146,0.489980717960471,0.0002827390801138,100,randomize,4.0,0.0396039603960396,0.069187675070028,3.608037274315667,17.392156862745097,ws,0.4803921568627451,91,beta
36,3,0.0508761384750126,0.3697096209161439,0.0002047251027521,86,randomize,2.0,0.0571428571428571,0.0,7.247619047619048,4.666666666666667,ws,0.1388888888888889,54,beta
199,5,0.1861891433814411,0.5530033889303198,0.0003650481968814487,92,randomize,19.20603015075377,0.048500076138267095,0.06439955228902884,2.5535759606111363,445.4572864321608,ba,0.457286432160804,77,beta
145,2,0.23537045177243301,0.15140848085419578,0.0008637041144666668,13,randomize,7.875862068965517,0.027346743295019158,0.0571962742490173,0.0,110.93793103448276,ba,0.30344827586206896,210,beta
66,4,0.2025680645375566,0.06534158792949496,0.0007636190577994942,10,randomize,14.909090909090908,0.11468531468531469,0.23383641713730188,2.199300699300699,334.6969696969697,ba,0.2727272727272727,86,beta
150,7,0.208748545002926,0.550342087567655,0.0009389606635313645,43,randomize,26.066666666666666,0.08747203579418344,0.10047824725285154,2.206040268456376,753.8533333333334,ba,0.42,59,beta
163,6,0.182966169243656,0.11426267481836583,0.0008798637119450689,29,randomize,22.895705521472394,0.0706657577823222,0.13851880098783914,2.2957661137620238,753.9141104294479,ba,0.7914110429447853,67,beta
