n_agents,degree,p_rewiring,uncertainty,n_experiments,rewiring_type,true_consensus,true_consensus_alternative_stop,choice_consensus,convergence_step,agent_type
9,3,0.5814726053138645,0.001650381897934091,187,hierarchical,0.5555555555555556,False,0.4444444444444444,200,bayes
6,4,0.6609514897464377,0.0022100555602948702,235,hierarchical,0.0,0.0,0.0,141,bayes
8,2,0.9404318890592466,0.002502105804203298,390,hierarchical,1.0,False,1.0,200,bayes
6,5,0.8170295071767792,0.0020702892004170106,161,hierarchical,0.6666666666666666,0.6666666666666666,0.6666666666666666,13,bayes
13,1,0.661088748413669,0.007967300871743584,240,hierarchical,1.0,1.0,1.0,101,bayes
4,2,0.47983872859533516,0.003552149858057856,77,hierarchical,0.0,0.0,0.0,72,bayes
13,8,0.6464016292112348,0.004111700143017172,289,hierarchical,1.0,1.0,1.0,31,bayes
7,2,0.310505920592804,0.008310940309437484,449,hierarchical,1.0,1.0,1.0,38,bayes
3,2,0.7088411417702402,0.00984142408720735,432,hierarchical,1.0,1.0,1.0,12,bayes
4,2,0.64594165943034,0.008912052909344083,798,hierarchical,1.0,1.0,1.0,25,bayes
6,4,0.3011060395501316,0.007093962600974418,831,hierarchical,1.0,1.0,1.0,8,bayes
13,8,0.2786052828508939,0.0029182622266575265,692,hierarchical,1.0,1.0,1.0,52,bayes
14,10,0.8130972441047798,0.003657598633520751,952,hierarchical,1.0,1.0,1.0,16,bayes
3,1,0.7927232557268086,0.006139094659131494,331,hierarchical,1.0,1.0,1.0,64,bayes
15,2,0.9354480979628608,0.008898843429505303,462,hierarchical,0.5333333333333333,0.5333333333333333,0.5333333333333333,55,bayes
13,7,0.12812147438484767,0.003722398395434593,136,hierarchical,1.0,False,1.0,200,bayes
11,6,0.8325633794762032,0.005228714199836957,632,hierarchical,1.0,1.0,1.0,33,bayes
9,5,0.7809803221037966,0.001127527387108304,559,hierarchical,1.0,False,1.0,200,bayes
7,6,0.9630971653946769,0.00814878215810919,168,hierarchical,0.5714285714285714,0.5714285714285714,0.5714285714285714,4,bayes
11,4,0.8028106435856814,0.004825551121195222,555,hierarchical,1.0,1.0,1.0,48,bayes
12,1,0.38742608481312946,0.004452320471128158,546,hierarchical,0.16666666666666666,0.16666666666666666,0.16666666666666666,79,bayes
14,12,0.4097069072576358,0.007513662421892278,691,hierarchical,1.0,1.0,1.0,5,bayes
8,5,0.7363971151876267,0.002722056306260101,549,hierarchical,1.0,1.0,1.0,76,bayes
6,3,0.04089555559895708,0.008719888143738103,754,hierarchical,1.0,1.0,1.0,24,bayes
3,2,0.1888646404446599,0.005977405287202131,559,hierarchical,0.0,0.0,0.0,3,bayes
6,3,0.8204655047981756,0.0037355140259260782,593,hierarchical,1.0,1.0,1.0,35,bayes
10,4,0.44036714856695036,0.006471572865345276,467,hierarchical,1.0,1.0,1.0,25,bayes
7,4,0.17319885677007685,0.008596776251571379,312,hierarchical,1.0,1.0,1.0,21,bayes
15,5,0.663041678680814,0.006363016945934562,230,hierarchical,1.0,1.0,1.0,56,bayes
